,id,date
0,McsgRggUjE4,2015-02-11T19:52:41Z
1,XAU9ofjcx-Y,2015-02-18T20:53:56Z
2,QXfhGxZFcVE,2015-02-25T20:29:28Z
3,gJ5KV3rzuag,2015-03-04T21:48:46Z
4,W4UfmOHjiJg,2015-03-11T19:18:12Z
5,EtExl3sm-1E,2015-03-19T00:35:42Z
6,3tCMd1ytvWg,2015-03-25T20:19:55Z
7,bcsBWPuLJsQ,2015-04-01T22:13:26Z
8,iaN0xg2VQSo,2015-04-08T22:45:11Z
9,3t0lRt329wM,2015-04-10T06:05:05Z
10,uzgaZbbDsAA,2015-04-15T21:15:14Z
11,YycAzdtUIko,2015-04-22T21:12:04Z
12,EHKQIC5p8MU,2015-04-29T21:28:08Z
13,gEagBK4Xb1w,2015-05-06T21:44:26Z
14,w5TSfjvzMGs,2015-05-13T20:43:01Z
15,Xo232kyTsO0,2015-05-20T20:29:26Z
16,9Q_0vOdzw4Y,2015-05-27T20:32:50Z
17,NblR01hHK6U,2015-06-04T01:40:48Z
18,_UKyswjng60,2015-06-10T20:10:26Z
19,gWYEnvMM1dA,2015-06-17T22:55:20Z
20,bT3hBK6kAJQ,2015-06-25T00:06:06Z
21,D3GVVkPb3OI,2015-07-02T17:10:45Z
22,g1nbZ4PctOI,2015-07-08T22:02:14Z
23,RuPQsqZaq8A,2015-07-08T22:02:40Z
24,P4rW_pPbD-U,2015-07-15T22:27:27Z
25,U8Hx-AkFDCY,2015-07-22T22:57:33Z
26,AwhKZ3fd9JA,2015-07-29T23:36:28Z
27,pwChk4S99i4,2015-08-05T22:01:39Z
28,MUThGpp6ze4,2015-08-12T22:40:19Z
29,vNaEBbFbvcY,2015-08-19T22:58:15Z
30,VzUl3D41oIs,2015-08-27T18:26:52Z
31,z3rgl-_a5C0,2015-09-23T19:14:07Z
32,AwwIFcdUFrE,2015-09-30T22:22:56Z
33,msVuCEs8Ydo,2015-10-07T23:45:30Z
34,EzZGPCyrpSU,2015-10-15T18:15:30Z
35,1Tstyqz2g7o,2015-10-22T15:34:09Z
36,94ed4v_T6YM,2015-10-28T20:56:27Z
37,cJONS7sqi0o,2015-11-05T20:05:15Z
38,NzvcVcPnSCY,2015-11-11T21:56:22Z
39,dEIjKjIgCA0,2015-11-18T22:58:26Z
40,T2m-ZXrclW0,2015-11-26T07:39:32Z
41,xx4562gesw0,2015-12-09T18:09:05Z
42,kixAljyfdqU,2015-12-16T21:11:59Z
43,gSKzgpt4HBU,2016-01-06T17:53:40Z
44,GguAN1_JouQ,2016-01-13T21:15:29Z
45,kpuGjzdHqgI,2016-01-20T20:37:27Z
46,fHRqibyNMpw,2016-01-28T00:17:35Z
47,o8TCUGDltqM,2016-02-03T19:19:10Z
48,gw-i_VKd6Wo,2016-02-11T16:50:00Z
49,xGfv3Oay_pY,2016-02-17T23:10:01Z
50,aPStj2ZuXug,2016-02-24T23:06:37Z
51,JDmKLXVFJzk,2016-03-02T20:45:41Z
52,wcBjibuHxEk,2016-03-09T20:14:44Z
53,Aj6Kc1mvsdo,2016-03-16T21:29:40Z
54,blSTTFS8Uco,2016-03-23T18:52:18Z
55,nFYveYkSPuA,2016-03-30T19:43:30Z
56,6yLGeviU8FM,2016-04-06T20:44:31Z
57,xZTb6sfHEX8,2016-04-13T20:44:20Z
58,-4PayaEgEZc,2016-04-20T20:30:08Z
59,RUE_LUqcTvM,2016-04-27T20:19:19Z
60,fsARBnvUB2E,2016-05-04T20:12:16Z
61,nZQIM1C6xQw,2016-05-11T18:52:45Z
62,UwYSWAlAewc,2016-05-18T17:36:31Z
63,ztninkgZ0ws,2016-05-25T18:58:06Z
64,-IfmgyXs7z8,2016-06-01T18:56:49Z
65,KFOgIijPWGY,2016-06-08T23:05:30Z
66,Dgv2WWpm7_s,2016-06-15T21:56:37Z
67,tQSbms5MDvY,2016-06-22T18:55:04Z
68,SqF_Iy0lz_M,2016-06-29T20:55:16Z
69,_NqbRcwWwPw,2016-07-06T22:25:02Z
70,eJ2RNBAFLj0,2016-07-20T21:54:10Z
71,p-MNSLsjjdo,2016-07-27T22:10:15Z
72,UjmlwdUK4RE,2016-08-03T21:26:04Z
73,8ORLN_KwAgs,2016-08-10T22:43:29Z
74,2Uzytrooz44,2016-08-17T21:52:23Z
75,jW55cViXu6s,2016-08-24T19:38:38Z
76,MuvwcsfXIIo,2016-09-07T21:03:32Z
77,4H55wybU3rI,2016-09-14T20:56:19Z
78,tafGL02EUOA,2016-09-22T00:38:23Z
79,pEJ-wXpeH6w,2016-09-29T20:36:57Z
80,BAoEnV3Zt_Q,2016-10-05T20:24:55Z
81,rcv_tYcRgw4,2016-10-12T22:56:56Z
82,jowVq81AgGw,2016-10-19T22:34:52Z
83,dzKWfw68M5U,2016-10-26T22:04:29Z
84,ZY47bVu-0Bs,2016-11-02T23:35:04Z
85,7UNLgPIiWAg,2016-11-09T23:48:37Z
86,u4RNGRyzt10,2016-11-16T22:27:50Z
87,RlXdsyctD50,2016-12-01T01:19:28Z
88,mht-1c4wc0Q,2016-12-08T23:29:17Z
89,v3hd3AI2CAA,2016-12-15T00:05:53Z
90,Ttwl_zH_DZ8,2016-12-22T01:28:49Z
91,q_oHv6HCMX4,2017-01-04T22:44:33Z
92,hqoo_4wSkdg,2017-01-12T01:02:39Z
93,-q7EvLhOK08,2017-01-19T17:32:20Z
94,3TZEp_n3eIc,2017-01-26T00:17:07Z
95,1YFrISfN7jo,2017-02-02T21:12:58Z
96,CoQE5J346mU,2017-02-15T21:31:44Z
97,TQZyaMRp7_0,2017-02-22T21:21:02Z
98,h871oE5QkTU,2017-03-02T00:49:50Z
99,_tmMKQ4kp_I,2017-03-08T21:13:52Z
100,5l1KxgHH2Ek,2017-03-15T21:18:30Z
101,HUMGc8hEkpc,2017-03-22T21:32:48Z
102,KePNhUJ2reI,2017-03-30T01:50:20Z
