,id,date,like_count,view_count,comment_count,sentiment,positive_count,negative_count,neutral_count,avg_anger_per,avg_fear_per,avg_trust_per,avg_surprise_per,avg_positive_per,avg_negative_per,avg_sadness_per,avg_disgust_per,avg_joy_per,avg_anticipation_per
0,McsgRggUjE4,2015-02-11T19:52:41Z,7675,463978,656,0.19147827586206898,138,46,106,0.021795651431138582,0.038842635318950394,0.1094744145060431,0.015481213124083655,0.17653518015326064,0.09833555385253072,0.04309194536942813,0.020763869476609485,0.04735035825068486,0.1007429716207187
1,XAU9ofjcx-Y,2015-02-18T20:53:56Z,14313,841187,4014,0.15510207612456747,145,87,57,0.02649103928597459,0.0722009329242152,0.1547723656333379,0.02082312639147525,0.2388674133009543,0.11577111694199113,0.035685178251456035,0.043685426835812856,0.048440627060902845,0.10139426126315326
2,QXfhGxZFcVE,2015-02-25T20:29:28Z,13674,952033,1090,0.09120947368421053,104,64,117,0.030420070800019273,0.043079785364472344,0.1284847508675084,0.02927375226972088,0.2038669596620555,0.10513949170741187,0.04311311494636695,0.018909106252933586,0.031334854837998895,0.09971144662484564
3,gJ5KV3rzuag,2015-03-04T21:48:46Z,82060,4747580,21328,0.08726877192982456,113,81,91,0.03464384161934887,0.05522790139495352,0.09701401908471388,0.03364943362942106,0.19498382666167965,0.11178301312641631,0.04376084960559356,0.02399315285045648,0.05121005251796042,0.09057601477261414
4,W4UfmOHjiJg,2015-03-11T19:18:12Z,8524,1074328,1520,-0.09851453287197232,81,117,91,0.046527337700820404,0.07249800693046458,0.08391845838809157,0.03403375503237918,0.12732656656381364,0.13394155763743898,0.05414127945944965,0.02455190975116397,0.049926876698857946,0.0824768123911533
5,EtExl3sm-1E,2015-03-19T00:35:42Z,4863,330147,372,0.11330140845070422,93,52,68,0.030279706834064,0.04062904310189714,0.08106689309194007,0.029126004872210755,0.17278063652207773,0.14536907129141496,0.03245876099836988,0.026320243590187704,0.032836352021052645,0.1462224895547194
6,3tCMd1ytvWg,2015-03-25T20:19:55Z,20006,1283999,1414,0.12300882352941175,117,54,101,0.028801132911090904,0.05821209539342474,0.08366811902494914,0.022322484962877122,0.18026121544838886,0.10960232132615277,0.043369245240574485,0.024777026745948727,0.03825709475595271,0.09087632301416995
7,bcsBWPuLJsQ,2015-04-01T22:13:26Z,5892,378925,536,0.06205034246575342,111,80,101,0.026328245872806636,0.052366841973752555,0.09479090262543638,0.02502318369823458,0.16333364249541057,0.16288000328821475,0.08807591791508611,0.023596616729773336,0.034971452467276246,0.09918113813948828
8,iaN0xg2VQSo,2015-04-08T22:45:11Z,4506,291402,450,0.12792552447552447,117,54,115,0.048305090709396925,0.0412541441108849,0.08084863388480051,0.024571620564443532,0.17136441345032677,0.10094711828809774,0.03229006076951475,0.025243499854743872,0.04023284663236817,0.09578173257458368
9,3t0lRt329wM,2015-04-10T06:05:05Z,1071,83190,61,0.036292682926829266,13,11,17,0.0012195121951219512,0.01335154038901808,0.11876061673801114,0.009504623871072414,0.16252747351795538,0.08984010239215474,0.04565374145980928,0.0034070628954626578,0.05614314794862088,0.06056778834887104
10,uzgaZbbDsAA,2015-04-15T21:15:14Z,9702,650829,1145,-0.035035862068965515,84,97,109,0.025594555126123825,0.05210739210535917,0.07664655166804775,0.021294006082508744,0.1328171219194677,0.16251020061183438,0.04246447331532621,0.014391295172420117,0.031849180233769814,0.12653212031686642
11,YycAzdtUIko,2015-04-22T21:12:04Z,47884,3264438,5121,0.12232756183745584,118,72,93,0.0233485681069054,0.03467525049491743,0.10067056215195737,0.05068871295671981,0.21197136832582888,0.11828670488291892,0.03232791207065657,0.020613021457709033,0.04116000755220716,0.1789787400567165
12,EHKQIC5p8MU,2015-04-29T21:28:08Z,19423,1128642,3335,0.1032605633802817,109,69,106,0.021580717480425803,0.03862954704312482,0.10835068950214838,0.01868195169745812,0.21289416199687633,0.10895495157983447,0.029632842825934213,0.025768828348313493,0.03704085462490943,0.09916968025308759
13,gEagBK4Xb1w,2015-05-06T21:44:26Z,10001,573190,4553,0.05646027397260274,119,94,79,0.03443859558419424,0.045420016475576065,0.12526549537581214,0.028409494519500544,0.214162058348577,0.10762248699891881,0.04211125428194017,0.027323115021898586,0.049753069309827126,0.07206975654950873
14,w5TSfjvzMGs,2015-05-13T20:43:01Z,5247,320517,263,0.19629301075268818,88,27,71,0.021349019862977582,0.03728094918545178,0.10624041903064518,0.01718054003894911,0.25146185552138417,0.08933380929034423,0.027516812687792998,0.021409158102383634,0.055914097648894136,0.07123806981397286
