,id,date
0,cU2dZz18P0c,2010-08-15T15:59:08Z
1,b3TRUDKpoAs,2010-08-16T14:31:44Z
2,U2g1H5wPmUE,2011-01-07T10:53:55Z
3,JUJPyQtoB5E,2011-01-28T01:09:53Z
4,2xKZRpAsWL8,2011-02-02T06:10:11Z
5,WwmJ5nMmigQ,2011-02-02T15:21:32Z
6,DBjZz0iQrzI,2011-02-02T17:19:07Z
7,-vomqiURUgA,2011-02-04T00:16:02Z
8,_Z0X0yE8Ioc,2011-02-07T17:13:23Z
9,7LGi-Dlb8Vs,2011-02-09T10:38:01Z
10,u7KpH9_I2Dw,2011-02-13T03:01:06Z
11,Bz9D6xba9Og,2011-02-17T15:24:41Z
12,GmlMV7bA0TM,2011-02-18T02:52:19Z
13,aJc4DEkSq4I,2011-02-18T21:47:07Z
14,zN6kCa6xi9k,2011-02-22T01:57:46Z
15,mezkHBPLZ4A,2011-02-22T14:02:42Z
16,8bTdMmNZm2M,2011-02-25T10:57:23Z
17,SN1Q5ru2fI0,2011-02-28T07:15:53Z
18,oBdalzRJR5g,2011-03-01T17:05:21Z
19,_mCC-68LyZM,2011-03-03T15:17:37Z
20,d57C2drB_wc,2011-03-08T21:43:20Z
21,Yf0BN0kq7OU,2011-03-10T22:47:14Z
22,lRbI_vPyOnc,2011-03-14T13:56:33Z
23,eVtCO84MDj8,2011-03-17T17:43:58Z
24,SeDaOigLBTU,2011-03-22T12:39:02Z
25,ph8xusY3GTM,2011-03-23T03:23:41Z
26,wQmnztyXwVA,2011-03-25T21:23:17Z
27,rmI_9Hty-Lw,2011-03-28T06:09:48Z
28,UxbeLdXnaGU,2011-03-31T02:21:12Z
29,sehKAccM8p0,2011-04-09T14:18:07Z
30,1ZcOusmB4Ls,2011-04-12T11:30:00Z
31,tYmMtSWPQEI,2011-04-29T11:54:25Z
32,cY-kiddvAg0,2011-05-02T06:49:07Z
33,5yFnO2O6XPM,2011-05-08T23:48:48Z
34,zuMjnP1YbPw,2011-05-12T23:10:34Z
35,lYc7kHXW0xg,2011-05-19T05:42:18Z
36,FhmLBxyX8Dw,2011-05-25T09:07:13Z
37,exG4aGlCmEE,2011-05-25T09:09:01Z
38,EyT3Yukdlu4,2011-05-25T09:10:40Z
39,KI5CUGQET5I,2011-05-25T09:14:57Z
40,vKsof8ax_Ns,2011-05-25T09:19:10Z
41,wzH_8TZ6oGI,2011-05-25T09:21:57Z
42,YJbKieEC49M,2011-05-29T23:26:31Z
43,liqF6EamiE4,2011-06-13T22:30:47Z
44,hNGJ0WHXMyE,2011-06-29T08:09:46Z
45,4qe1Ueifekg,2011-07-10T15:26:11Z
46,bcstc1ozczQ,2011-07-17T00:18:42Z
47,TQxeutcYP6I,2011-07-21T16:15:14Z
48,9zso7ChaQXQ,2011-07-24T18:57:01Z
49,Stx6kLd9dYI,2011-08-05T05:42:08Z
50,gM3zP72-rJE,2011-08-14T02:49:29Z
51,qQCVnjGUv24,2011-08-21T05:54:46Z
52,1iIv1SuS164,2011-08-21T07:46:13Z
53,CRSDxGtcsxE,2011-08-22T23:20:37Z
54,EJrmR-RGjUM,2011-08-24T22:09:59Z
55,KzOkuGQC3Rw,2011-08-27T16:28:41Z
